Menu Category,Menu Item,City,Serve Size (g),Energy,Protein,Total Fat,Sat Fat,Trans Fat,Cholesterol,Total Carbohydrate,Total Sugars,Added Sugars,Sodium,Popularity,Price,Special Promotions,Local Favorites,Customer Ratings,Health Conscious,Sustainability Rating,Availability Hours
Meal Menu,McCombo Meal,Chennai,130.97,551.79,23.44,37.91,8.6,0.05,39.29,86.43,1.21,8.03,1472.72,6.77,14.71,Yes,Yes,8.16,Yes,9.22,Evening
Drink Menu,Hot Chocolate,Delhi,105.1,325.52,20.11,19.09,1.99,0.57,26.05,82.33,11.26,6.64,1155.31,8.14,7.53,No,No,4.89,No,9.17,Evening
Drink Menu,Orange Juice,Delhi,243.76,570.77,18.04,28.49,9.5,0.04,27.44,62.62,15.93,1.16,1335.61,6.08,14.56,No,No,3.15,Yes,7.2,Afternoon
Drink Menu,Iced Tea,Pune,159.09,648.39,10.55,31.84,1.02,0.39,42.08,50.05,2.04,3.6,475.58,3.2,8.37,Yes,No,3.69,Yes,7.23,Afternoon
Regular Menu,Spicy Paneer Wrap,Ahmedabad,344.54,797.24,8.3,16.87,1.42,0.31,22.9,90.68,14.18,7.45,528.62,1.56,3.6,Yes,No,8.15,No,2.86,Morning
Regular Menu,American Veg Burger,Pune,85.78,474.71,12.09,38.88,6.84,0.47,22.19,118.94,8.72,8.46,445.94,7.06,9.59,Yes,Yes,8.03,Yes,8.64,Evening
Drink Menu,Coca-Cola,Hyderabad,251.6,522.67,18.03,5.55,1.95,0.07,7.71,63.28,7.48,6.35,1243.81,9.12,6,No,No,8.74,No,9.25,Morning
Regular Menu,Veg Maharaja Mac,Bangalore,105.98,573.9,21.2,27.82,2.84,0.86,45.14,92.69,10.64,0.45,248,3.81,9.07,No,No,9.27,No,9.19,Morning
Regular Menu,McChicken Burger,Pune,170.03,833.67,7.04,30.74,1.94,0.3,19.61,79.87,13.22,9.52,999.45,1.16,10.77,Yes,No,4.71,No,9.31,Afternoon
Meal Menu,Veggie Deluxe Meal,Hyderabad,252.03,348.09,8.9,21.98,17.91,0.12,6.65,71.94,2.37,7.09,1175.85,9.72,5.57,No,No,5.37,No,7.94,Morning
Regular Menu,McGrilled Chicken Wrap,Ahmedabad,234.91,675.87,8.62,19.62,19.73,0.51,14.21,35.05,9.45,2.91,394.91,9.78,10.15,No,No,2.67,No,8.65,Evening
Regular Menu,Veg Maharaja Mac,Hyderabad,179.98,681.98,22.95,29.82,14.5,0.62,9.07,83.47,3.21,2.82,1443.89,9.57,11.88,Yes,Yes,6.64,No,1.87,Evening
Meal Menu,Chicken Supreme Meal,Pune,329.67,664.39,22.4,28.6,10.36,0.38,8.26,104.72,14.32,0.17,856.44,5.95,2.97,No,Yes,5.91,Yes,4.29,Afternoon
Dessert Menu,Vanilla Ice Cream,Delhi,225.1,419.66,22.53,29.1,19.22,0.99,0.58,115.5,7.42,4.37,881.75,5.68,11.37,No,Yes,8.43,No,7.52,Morning
Meal Menu,McCombo Meal,Delhi,221.5,650.01,16.05,36.47,19.38,0.04,16.92,59.86,10.8,8.97,433.08,5.49,12.67,Yes,Yes,8.71,Yes,4.86,Evening
Dessert Menu,Chocolate Sundae,Delhi,288.69,281.63,7.18,36.25,5.47,0.94,17.85,61.42,10.47,4.53,929.03,9.23,1.53,Yes,No,3.12,No,3.15,Morning
Dessert Menu,Caramel McFlurry,Bangalore,272.25,854.98,12.66,9.64,6.38,0.08,38.22,115.51,15.29,2.14,1389.46,3.51,5,Yes,No,1.5,No,9.28,Evening
Regular Menu,Pizza Puff,Mumbai,218.45,414.44,17.82,22.11,9.4,0.46,32.22,30.14,18.44,7.96,664.36,2.65,7.19,Yes,Yes,1.16,Yes,8.62,Afternoon
Drink Menu,Hot Tea,Chennai,101.1,756.99,16.67,14.75,4.08,0.24,48.37,107.52,3.11,2.41,550.12,3.16,9.76,Yes,Yes,4.76,Yes,2.48,Evening
Dessert Menu,Apple Pie,Delhi,237.74,397.83,5.09,20.88,6.1,0.65,0.58,66.06,17.76,6.57,854.26,9.67,4.59,No,No,2.13,Yes,1.38,Evening
Meal Menu,McCombo Meal,Bangalore,87.2,831.26,7.01,28.93,3.75,0.26,49.96,29.17,7.04,8.53,563.7,4.43,14.43,Yes,Yes,9.42,Yes,9.59,Morning
Regular Menu,Veg Maharaja Mac,Delhi,200.61,770.94,21.15,20.89,4.27,0.89,11.58,46.56,0.94,9.97,1411.46,8.08,7,Yes,Yes,9.96,Yes,4.64,Morning
Meal Menu,Veggie Deluxe Meal,Hyderabad,223.22,866.26,13.4,14.25,2.82,0.95,29.94,72.26,3.14,7.33,930.47,6.28,9.32,No,No,9.17,Yes,5.04,Morning
Dessert Menu,Caramel McFlurry,Kolkata,116.51,590.75,19.12,10.13,19.4,0.47,24.28,70.41,0.04,9.76,1259.96,6.85,14.51,No,Yes,8.02,No,2.17,Afternoon
Regular Menu,McAloo Tikki Burger®,Delhi,304.1,458.4,10.29,7.21,12.19,0.13,40.04,91.65,9.05,6.69,567.06,8.4,12.99,Yes,No,5.75,Yes,2.54,Morning
Meal Menu,McCombo Meal,Ahmedabad,312.12,416.13,17.51,13.65,3.89,0.72,16.64,43.89,3.04,3.11,720,3.75,4.07,No,Yes,5.44,Yes,5.52,Evening
Meal Menu,McCombo Meal,Bangalore,249.77,887.35,14.45,39.27,9.64,0.69,12.18,93,7.56,2.22,1234.57,9.09,8.49,No,No,7.3,No,9.54,Afternoon
Drink Menu,Sprite,Ahmedabad,323.57,346.28,21.42,21.95,11.05,0.67,31.47,118.8,0.63,1.86,1137.82,8.68,14.68,Yes,Yes,1.77,No,9.66,Afternoon
Meal Menu,Chicken Supreme Meal,Delhi,145.83,356.81,8.4,11.81,19.42,0.99,29.34,85.71,18.49,6,1287.34,3.13,2.54,Yes,Yes,7.37,No,3.17,Afternoon
Regular Menu,Spicy Paneer Wrap,Delhi,229.21,703.78,14.9,26.82,18.04,0.53,39.27,97.07,19.24,0.42,322.38,9.48,6.58,Yes,No,9.88,Yes,1.3,Evening
Drink Menu,Hot Chocolate,Ahmedabad,114.39,812.5,7.82,15.17,1.24,0.52,11.97,23.97,13.78,4.89,330.03,1.09,8.88,Yes,No,3.73,No,8.87,Afternoon
Meal Menu,Veggie Deluxe Meal,Ahmedabad,125.1,408.57,6.54,24.03,18.74,0.19,5.14,64.1,7.65,9.33,512.76,9.41,1.2,Yes,No,9.37,Yes,7.87,Evening
Dessert Menu,Caramel McFlurry,Kolkata,332.46,378.2,23.01,14.83,7.32,0.61,0.93,67.54,1.32,0.77,1178.23,5.75,3.06,Yes,Yes,1.93,Yes,1.83,Afternoon
Meal Menu,Veggie Deluxe Meal,Chennai,110.56,443.47,15.79,13.95,10.99,0.53,19.29,66.81,18.78,0.86,1180.19,9.51,9.58,No,No,7.69,No,5.76,Evening
Drink Menu,Hot Chocolate,Chennai,339.2,868.98,21.76,15.69,14.62,0.58,42.15,93.48,18.36,4.46,911.65,8.89,11.5,No,Yes,7.61,No,5.66,Evening
Drink Menu,Hot Chocolate,Hyderabad,348.07,308.9,23.36,20.92,2.43,0.59,10.83,49.2,14.58,3.08,228.2,6.04,8.28,No,No,2.84,No,7.36,Evening
Regular Menu,Chicken McNuggets,Hyderabad,231.04,329.66,9.1,10.35,5.84,0.05,41.9,26.68,19.66,5.97,485.34,7.8,4.89,No,No,4.78,No,6.89,Afternoon
Meal Menu,Veggie Deluxe Meal,Bangalore,267.46,277.47,11.82,28.6,6.22,0.42,37.21,29.96,6.91,1.15,1434.77,2.95,5.08,No,Yes,8.54,No,1.21,Evening
Drink Menu,Coca-Cola,Ahmedabad,299.41,352.35,20.95,31.91,7.91,0.2,1.59,33.95,2.58,7.74,827.03,8.62,5.03,No,Yes,2.29,Yes,6.2,Evening
Regular Menu,McSpicy Chicken Burger,Mumbai,145.82,516.94,20.65,26.19,16.84,0.77,0.98,53.65,6.73,1.07,883.96,6.2,12.58,No,Yes,4.47,Yes,4.44,Afternoon
Drink Menu,Hot Coffee,Chennai,221.64,654.43,18.5,27.03,19.65,0.59,22.32,100.17,15.13,3.54,661.82,6.18,10.53,No,Yes,2.25,No,3.82,Evening
Dessert Menu,Chocolate Sundae,Chennai,256.23,758.29,17.88,11.75,10.98,0.72,49.52,70.3,15.33,9.8,432.6,6.34,3.76,Yes,No,5.23,Yes,2.63,Morning
Drink Menu,Hot Coffee,Pune,113.68,325.96,20.31,28.02,1.78,0.75,39.08,52.76,3.77,3.17,1188.11,9.95,5.16,Yes,Yes,7.26,Yes,9.58,Evening
Dessert Menu,Caramel McFlurry,Chennai,86.22,366.2,20.2,22.64,3.17,0.44,39.44,22.43,16.87,3.23,815.58,6.84,14.34,Yes,No,7.53,No,9.49,Evening
Drink Menu,Hot Tea,Delhi,135.38,567.44,23.36,28.13,14.25,0.26,29.03,85.53,17.78,8.67,975.15,7.6,5.8,No,No,7.46,No,2.57,Evening
Regular Menu,McChicken Burger,Pune,241.73,669.04,15.23,37.31,17.11,0.51,21.35,23.39,10.42,6.25,885.39,3.52,13.74,Yes,No,6.97,Yes,5.02,Evening
Dessert Menu,Apple Pie,Chennai,185.54,734.14,5.06,39.65,6.92,0.26,33.8,54.98,2.44,5.05,370.51,8.79,3.93,No,Yes,8.19,Yes,9.43,Evening
Meal Menu,McCombo Meal,Kolkata,195.09,420.39,19.94,12.12,7.15,0.49,28.53,36.77,2.93,4.23,1490.07,4.6,9.78,No,No,7.3,No,7.45,Evening
Meal Menu,Chicken Supreme Meal,Mumbai,210.56,516.89,5.92,35.7,8.6,0.38,2.45,85.55,3.5,9.31,743.99,3.21,6.18,No,No,9.08,Yes,3.37,Morning
Dessert Menu,Vanilla Ice Cream,Pune,98.09,691.5,13.95,35.43,3.29,0.93,42.24,112.28,4.59,8.86,1116.5,1.35,1.65,No,No,6.09,Yes,6.94,Morning
Dessert Menu,Caramel McFlurry,Delhi,209.48,607.59,19.27,14.8,18.75,0.13,48.19,98.71,9.74,3.08,741.31,4.96,9.15,No,No,3.09,Yes,2.01,Evening
Dessert Menu,Caramel McFlurry,Pune,340.07,835.02,8.7,19.13,17.98,0.31,41.43,31.65,19.84,8.89,1150.62,1.55,14.45,No,Yes,3.92,Yes,1.13,Evening
Drink Menu,Hot Chocolate,Bangalore,218.79,740.92,21.54,32.32,19.95,0.62,40.64,31.2,17.06,2.55,866.73,6.49,10.95,No,No,7.36,No,3.21,Morning
Dessert Menu,Vanilla Ice Cream,Delhi,94.05,234.54,5.85,23.8,19.35,0.49,11.69,65.29,1.56,6.17,644.96,6.92,10.29,No,Yes,5.03,No,7.21,Evening
Drink Menu,Coca-Cola,Bangalore,234.48,690.29,24.66,32.91,9.43,0.93,21.18,95.59,5.76,6.07,634.64,3.34,2.78,No,No,4.44,No,8.34,Morning
Regular Menu,Spicy Paneer Wrap,Delhi,150.26,491.86,23.89,30.08,14.68,0.72,25.45,51.65,12.98,4.83,312.08,7.92,5.14,Yes,No,3.15,Yes,3.92,Afternoon
Meal Menu,Veggie Deluxe Meal,Mumbai,261.86,555.68,8.66,18.18,16.69,0.01,1.73,85.96,6.08,7.02,673.64,3.89,9.2,No,No,3.25,No,6.05,Afternoon
Dessert Menu,Chocolate Sundae,Ahmedabad,266.24,825.69,9.04,5.42,14.76,0.01,43.79,59.55,10.88,3.37,1288.74,1.56,11.17,Yes,No,4.82,No,2.5,Morning
Drink Menu,Orange Juice,Bangalore,264.63,254.53,14.24,17.83,9.24,0.05,49.47,50.99,11.37,8.87,460.95,8.15,5.89,No,No,5.68,Yes,6.37,Afternoon
Drink Menu,Hot Coffee,Hyderabad,292.06,594.31,8.5,26.06,14.45,0.07,42.18,117.11,14.21,8.18,609.68,6.92,5.18,No,Yes,5.18,Yes,3.08,Afternoon
Regular Menu,Green Chilli Aloo Naan,Hyderabad,315.4,754.44,6.26,15.23,12.97,0.34,19.08,50.3,15.58,2.46,1176.38,2.02,4.04,No,Yes,6.63,Yes,5.71,Morning
Drink Menu,Sprite,Kolkata,216.82,869.02,12.1,28.11,2.23,0.74,49.3,84.16,19.21,2.96,1089.19,8.08,2.18,No,Yes,1.26,Yes,1.57,Afternoon
Dessert Menu,Vanilla Ice Cream,Delhi,297.61,389.49,9.34,13.06,13.1,0.07,37.84,61.43,12.63,6.57,280.38,2.54,14.22,Yes,No,1.37,No,1.48,Evening
Meal Menu,McCombo Meal,Ahmedabad,184.77,612.79,20,38.06,16.55,0.55,34.66,29.87,11.12,8.18,703.62,3.24,1.25,No,Yes,7.4,No,2.1,Evening
Regular Menu,McSpicy™ Paneer Burger,Bangalore,296.76,344.61,13.05,8.93,16.38,0.37,28.16,55.97,6.97,7.16,1445.43,6.92,11.55,No,Yes,9.08,Yes,2.39,Afternoon
Meal Menu,McCombo Meal,Hyderabad,291.64,704.61,5.9,17.61,8.87,0.86,35.23,85.21,10.76,2.88,981.32,4.27,3.28,No,No,9.07,Yes,2.11,Afternoon
Drink Menu,Sprite,Delhi,231.26,264.31,8.3,33.89,8.24,0.74,35.53,62.47,18.31,4.78,428.47,4.06,3.56,No,No,2.87,Yes,5.73,Evening
Drink Menu,Hot Tea,Kolkata,142.45,362.41,14.88,19.61,1.73,0.65,8.78,40.06,12.1,9.27,753.62,5.04,14.23,No,Yes,7.38,No,5.88,Morning
Regular Menu,Veg Maharaja Mac,Delhi,328.29,335.86,19.77,11.08,7.47,0.29,21.82,119.76,1.18,2.71,502.26,5.25,1.1,Yes,Yes,2.45,No,7.16,Afternoon
Meal Menu,Chicken Supreme Meal,Delhi,307.23,465.05,22.88,35.14,16.28,0.45,30.43,111.6,15.36,7.79,1288.8,6.04,11.68,Yes,Yes,1.16,Yes,4.46,Evening
Regular Menu,American Veg Burger,Kolkata,264.01,854.54,10.86,14.9,13.01,0.02,26.03,90.15,2.81,1.43,1036.96,8.56,6.33,Yes,Yes,4.17,No,8.51,Evening
Drink Menu,Hot Coffee,Chennai,109.59,857.61,21.59,33.81,3.66,0.47,49.45,44.29,18.27,7.65,646.77,4.58,9.17,No,Yes,5.54,No,3.93,Morning
Drink Menu,Hot Tea,Ahmedabad,170.66,616.79,20.7,16.11,19.28,0.18,37.98,104.51,6.36,9.84,767.74,1.1,7.39,Yes,Yes,9.4,No,8.97,Evening
Meal Menu,McCombo Meal,Mumbai,206.24,514.6,9.45,38.96,10.11,0.02,39.97,96.29,8.07,3.64,1125.11,3.89,9.68,Yes,Yes,8.33,No,8.42,Morning
Regular Menu,Pizza Puff,Ahmedabad,125.99,753.64,7.48,22.82,13.42,0.26,28.59,53.96,0.37,7.56,1354.6,3,2.61,No,Yes,4.45,Yes,3.62,Morning
Regular Menu,McChicken Burger,Ahmedabad,297.72,317.73,18.27,22.18,17.79,0.94,4.2,78.6,10.42,1.44,655.05,3.75,4.91,Yes,Yes,3.13,Yes,5.84,Evening
Regular Menu,McSpicy™ Paneer Burger,Bangalore,323.52,274.59,13.62,34.67,13.87,0.45,38.5,105.23,12.24,1.78,1351.89,4.79,3.61,Yes,No,1.94,Yes,2.1,Afternoon
Meal Menu,Chicken Supreme Meal,Pune,284.73,879.92,5.85,5.51,11.65,0.91,22.49,53.2,2.16,3.37,850.94,4.63,12.79,No,No,8.38,No,7.01,Afternoon
Meal Menu,McCombo Meal,Ahmedabad,233.56,751.74,15.45,10.75,11.42,0.84,8.95,20.94,1.14,9.09,1443.57,2.6,2.51,No,Yes,3.59,No,5.76,Afternoon
Meal Menu,Chicken Supreme Meal,Ahmedabad,221.43,269.3,13.85,28.68,9.99,0.72,49.02,35.58,3.06,0.21,1411.7,5.09,11.88,Yes,Yes,9.57,No,3.77,Afternoon
Meal Menu,Chicken Supreme Meal,Chennai,104.18,606.7,12.83,15.63,13.79,0.17,34.53,80.83,4.79,3.1,1206,2.79,10.06,Yes,No,5.56,Yes,7.05,Morning
Drink Menu,Pepsi,Ahmedabad,127.61,877.5,21.95,10.26,12.93,0.12,6.83,69.66,7.11,2.72,652.06,7.89,4.24,No,Yes,8.72,Yes,1.44,Evening
Regular Menu,Chicken McNuggets,Ahmedabad,244.21,839.06,24.48,23.13,1.45,0.66,38.87,82.06,19.64,6.72,953.66,4.69,10.24,No,No,2.95,No,6.63,Evening
Meal Menu,Veggie Deluxe Meal,Bangalore,85.76,606.42,23.95,9.42,19.01,0.11,15.66,117.15,6.62,8.56,634.61,4.7,10.07,Yes,No,6.06,No,3.66,Morning
Dessert Menu,Caramel McFlurry,Hyderabad,184.87,387.52,8.79,9.89,5.52,0.88,48.01,50.04,2.41,7.7,819.28,3.63,7.9,No,Yes,3.09,No,6.24,Morning
Dessert Menu,Chocolate Sundae,Kolkata,101.15,670.4,18.33,31.5,17.2,0.99,18.52,33.99,15.84,9.72,847.54,9.89,9.84,No,Yes,4.48,No,6.43,Evening
Drink Menu,Hot Coffee,Chennai,325.62,541.51,17.34,29.71,8.69,0.55,30.82,47.48,15.2,3.03,326.88,8.41,11.35,Yes,No,4.31,No,5.07,Evening
Meal Menu,McCombo Meal,Pune,308.16,533.24,24.68,13.37,6.01,0.1,17.77,97.13,17.41,8.38,1165.2,7.92,9.33,No,No,8.52,Yes,8.33,Morning
Regular Menu,Green Chilli Aloo Naan,Kolkata,346.52,648.54,16.52,24.1,19.13,0.59,39.48,104.44,10.03,9.6,319.07,4.46,10.71,No,Yes,5.49,Yes,2.29,Evening
Meal Menu,Chicken Supreme Meal,Pune,166.69,575.3,8.82,17.83,14.1,0.16,46.76,113.97,17.66,6.28,1412.41,2.67,13.94,Yes,No,4.16,No,6.94,Evening
Meal Menu,Veggie Deluxe Meal,Pune,122.26,781.24,5.83,31.47,8.17,0.34,21.88,83.2,8,9.76,332.92,4.99,9.51,No,Yes,4.26,Yes,5.59,Afternoon
Regular Menu,McSpicy™ Paneer Burger,Hyderabad,263.9,662.85,23.02,36.96,5.34,0.78,31.3,46.41,10.52,2.55,772.69,2,5.95,Yes,No,3.41,No,5.97,Evening
Drink Menu,Sprite,Hyderabad,346.04,870.87,11.82,27.49,2.61,0.54,1.4,116.72,17.74,5.59,1013.62,3.78,14.29,Yes,No,8.81,Yes,3.21,Afternoon
Dessert Menu,Chocolate Sundae,Pune,235.91,428.93,10.5,22.04,19.53,0.76,35.58,36.35,2.77,3.89,349.34,2.8,8.33,No,No,6.35,Yes,4.62,Evening
Drink Menu,Coca-Cola,Ahmedabad,319.54,819.46,7.74,9.9,4.02,0.77,22.23,66.9,16.22,3.38,1033.55,1.66,2.13,No,No,3.7,Yes,6.58,Evening
Regular Menu,Chicken McNuggets,Kolkata,217.79,681.31,19.94,36.12,10.57,0.47,40.87,103.91,16.94,6.21,674.66,8.91,8.4,No,No,5.96,No,4.24,Morning
Regular Menu,McVeggie™ Burger,Kolkata,314.69,544.19,11.27,16.23,15.12,0.05,13.09,82.49,0.79,6.87,1167.37,6.54,3.65,Yes,No,8.3,No,8.66,Afternoon
Regular Menu,American Veg Burger,Kolkata,233.16,236.81,8.61,23.73,3.02,0.52,46,31.77,3.57,3.42,1004.8,9.34,5.18,No,Yes,5.62,No,9.59,Afternoon
Regular Menu,McSpicy Chicken Burger,Pune,190.99,305.76,11.95,19.37,8.8,0.34,43.97,100.66,7.38,1.6,402.77,9.45,10.14,Yes,Yes,5.03,Yes,7.87,Morning
Regular Menu,McGrilled Chicken Wrap,Chennai,107.15,839.4,15.5,34.54,6.2,0.32,6.66,70.15,13.68,5.72,708.37,8.68,8.24,No,Yes,4.79,Yes,1.85,Afternoon
Regular Menu,McVeggie™ Burger,Bangalore,313.31,480.92,20.52,23.47,17.97,0.12,5.66,104.54,17.56,4.04,278.24,6.71,12.31,Yes,Yes,6.26,No,2.54,Evening
Meal Menu,Chicken Supreme Meal,Hyderabad,130.83,374.24,17.25,34.49,6.14,0.62,41.39,92.84,3.86,8.72,674.81,3.48,1.28,No,No,5.84,Yes,3.04,Evening
Meal Menu,Chicken Supreme Meal,Bangalore,330.17,420.49,23.59,36.36,9.73,0.79,12,109.94,11.77,1.02,689.38,9.27,7.34,Yes,Yes,6.72,Yes,2.85,Afternoon
Drink Menu,Hot Chocolate,Chennai,341.08,380.38,15.8,6.52,1.08,0.64,39.55,53.13,2.45,2.07,1202.67,4.02,11.6,Yes,Yes,4.98,Yes,9.17,Morning
Dessert Menu,Chocolate Sundae,Chennai,268.53,294.35,18.84,14.49,14.98,0.88,42.7,20.24,15.98,5.05,1249.97,1.36,1.38,No,Yes,2.21,No,1.71,Evening
Regular Menu,McChicken Burger,Mumbai,98.18,391.79,18.01,16.39,2.98,0.02,21.19,94.49,13.58,2.71,700.34,3.27,7.05,Yes,Yes,7.3,Yes,5.55,Morning
Drink Menu,Iced Tea,Mumbai,285.47,877.45,17.66,25.21,8.44,0.94,26.35,57.05,14.83,4.45,356.05,5.66,13.41,Yes,Yes,9.02,No,8.01,Afternoon
Meal Menu,McCombo Meal,Delhi,251.14,453.36,20.56,21.36,12.17,0.5,27.14,53.12,4.52,6.65,864.51,2.74,5.54,Yes,No,3.19,No,6.19,Afternoon
Regular Menu,McSpicy Chicken Burger,Hyderabad,255.36,484.72,7.1,18.63,5.93,0.04,44.02,26.87,9.27,7.11,708.99,1.03,4.09,No,No,9.72,No,2.27,Morning
Meal Menu,McCombo Meal,Kolkata,348.96,435.52,14.25,33.45,6,0.7,21.39,62.67,5.85,1.77,610.15,4.34,2.31,Yes,No,1.94,Yes,7.26,Evening
Drink Menu,Pepsi,Kolkata,170.72,622.52,22.95,21.1,18.71,0.41,9.69,58.49,6.66,8.68,213.46,7.48,5.63,No,Yes,1.21,Yes,5.88,Evening
Regular Menu,McVeggie™ Burger,Chennai,109.37,628.73,15.27,27.69,8.71,0.09,13.31,73.83,7.25,5.49,263.75,6.97,7.15,No,No,7.71,Yes,5.98,Evening
Regular Menu,McGrilled Chicken Wrap,Hyderabad,153.42,539.08,22.6,13.78,12.94,0.21,24.98,90.67,18.27,2.82,1188.67,5.17,7.23,No,Yes,9.15,No,4.87,Afternoon
Regular Menu,McVeggie™ Burger,Hyderabad,108.57,743.53,18.92,27.71,17.39,0.67,45.43,53.94,1.96,5.84,944.66,8.75,14.82,Yes,Yes,7.36,Yes,5.41,Morning
Dessert Menu,Vanilla Ice Cream,Delhi,205.97,573.27,17.63,25.03,18.84,0.22,9.3,63.79,3.73,6.34,340.95,4.81,2.99,No,No,2.8,Yes,2.39,Evening
Regular Menu,McSpicy Chicken Burger,Hyderabad,92.58,427.66,13.88,14.13,6.03,0.06,17.53,40.56,6.74,9.01,1016.49,8.87,9.56,Yes,Yes,7.13,No,5.15,Evening
Regular Menu,McSpicy Chicken Burger,Bangalore,187.86,866.06,15.51,26.53,15.3,0.85,1.86,43.16,2.2,7.9,866.71,9.73,8.39,Yes,Yes,3.11,Yes,6.97,Morning
Regular Menu,McChicken Burger,Pune,227.63,371.89,24.42,13.37,6.38,0.82,43.7,72.37,16.99,5.36,540.89,1.11,4.9,No,Yes,4.16,No,4.93,Morning
